task_id,mode,classification,stop_reason,discovery_nanos,successful_search_rerun_nanos
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.in_perm_delete.prove,search,completed_discovery_failure,ambient_resource_limit,25262337006,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.insert_contents.prove,committed,completed_discovery_failure,ambient_resource_limit,22018491785,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.insert_contents.prove,search,completed_discovery_failure,ambient_resource_limit,18985515608,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.insertion_sort_correct.prove,committed,closed,other_or_unreported,5933375592,7824583940
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.insertion_sort_correct.prove,search,completed_discovery_failure,ambient_resource_limit,14157671186,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.perm_contents.prove,committed,completed_discovery_failure,ambient_resource_limit,15055774851,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.perm_contents.prove,search,completed_discovery_failure,ambient_resource_limit,16138239273,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.same_contents_iff_perm.prove,committed,closed,other_or_unreported,2700114291,2508692449
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.same_contents_iff_perm.prove,search,closed,other_or_unreported,2600085194,2414202567
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.sort_contents.prove,committed,completed_discovery_failure,ambient_resource_limit,23101811703,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.sort_contents.prove,search,completed_discovery_failure,ambient_resource_limit,23571328348,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.sort_pi_same_contents.prove,committed,completed_discovery_failure,ambient_resource_limit,19603789813,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.sort_pi_same_contents.prove,search,completed_discovery_failure,ambient_resource_limit,16077049095,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.sort_specifications_equivalent.prove,committed,completed_discovery_failure,ambient_resource_limit,16957990733,
